MLSNumber,Status,CloseDate,ListingContractDate,PendingDate,OriginalListPrice,ListPrice,PriceSqFtList,ClosePrice,PriceSqFtSold,Disclosures,SellerToClosingCosts,DOM,CDOM,StreetName,StreetNumber,StreetSuffix,City,StateOrProvince,PostalCode,LotSize,RoomCount,SqFtTotal,Stories,Subdivision,TempOffMarketDate,YearBuilt,BedsTotal,BathsFull,BathsHalf,BathsTotal,Area,PoolPrivate,GarageDesc,NoOfGarageCap
72991883,Sold,5/10/2021,4/8/2021,4/8/2021,232500,232500,130.84,237500,133.65,"Mud, Sellers Disclosure",0,0,0,Cloudy Bay,2319,Drive,Fresno,Texas,77545,5790,7,1777,1,Winfield Lakes Sec 16,,2014,3,2,0,2,38,FALSE,Attached Garage,2
55050079,Sold,5/4/2021,3/23/2021,3/27/2021,225000,225000,107.3,238000,113.5,"Mud, Sellers Disclosure",0,4,4,Manchester Crossing,2015,Drive,Fresno,Texas,77545,5766,10,2097,1,Cambridge Falls Sec 2,,2010,3,2,0,2,38,FALSE,Attached Garage,2
62068919,Sold,3/4/2021,10/26/2020,10/26/2020,241565,241565,136.02,241565,136.02,Mud,0,0,0,Hidden Embers,2211,Path,Fresno,Texas,77545,,10,1776,1,Winfield Lakes,,2020,3,2,0,2,38,FALSE,Attached Garage,2
53098213,Sold,3/27/2020,1/22/2020,3/4/2020,239990,239990,112.41,242000,113.35,Mud,0,42,117,Fawn Mountain,2638,Drive,Fresno,Texas,77545,,11,2135,2,Winfield Lakes,,2019,4,2,1,2.1,38,FALSE,Attached Garage,2
26982284,Sold,7/29/2021,6/17/2021,6/21/2021,235000,235000,127.44,245000,132.86,"Mud, Sellers Disclosure",0,4,4,Hurst Green,3006,Lane,Fresno,Texas,77545,7273,10,1844,1,Cambridge Falls Sec 2,,2013,3,2,0,2,38,FALSE,,
80366091,Sold,7/28/2021,6/21/2021,7/1/2021,215000,230000,145.2,245000,154.67,Sellers Disclosure,0,10,10,Acorn Glen,2135,Trail,Fresno,Texas,77545,5907,7,1584,1,Winfield Lakes Sec 9,,2006,3,2,0,2,38,FALSE,Attached Garage,2
70863433,Sold,6/18/2021,5/10/2021,5/12/2021,229900,229900,146.53,245000,156.15,Sellers Disclosure,0,2,2,Bravos Manor,1958,Lane,Fresno,Texas,77545,6041,6,1569,1,Cambridge Falls Sec 10,,2018,3,2,0,2,38,FALSE,Attached Garage,2
15791275,Sold,3/22/2021,11/20/2020,11/20/2020,247500,247500,139.36,247500,139.36,Mud,0,0,0,Hidden Embers,2318,Path,Fresno,Texas,77545,,10,1776,1,Winfield Lakes,,2020,3,2,0,2,38,FALSE,Attached Garage,2
83274109,Sold,6/18/2021,3/23/2021,5/21/2021,247500,247500,138.5,248000,138.78,"Mud, Sellers Disclosure",0,9,9,Casterly,2007,Court,Fresno,Texas,77545,8057,9,1787,1,Cambridge Falls Sec 6,,2016,4,2,0,2,38,FALSE,"Attached Garage, Oversized Garage",2
21592193,Sold,4/20/2021,3/12/2021,3/17/2021,249999,249999,121.77,249999,121.77,"Exclusions, Mud, Sellers Disclosure",0,5,5,Bravos Manor,1930,Lane,Fresno,Texas,77545,6250,8,2053,1,Cambridge Falls Sec 7,,2015,4,2,0,2,38,FALSE,Attached Garage,
